ERROR | From root -> __init__ line no: 312 | Failed to create client from USER_SESSION_STRING
INFO | From root -> __init__ line no: 1305 | Starting Bot @TGHThingLeech_bot DC: 5.
WARNING | From tzlocal -> unix line no: 142 | /etc/timezone is deprecated on Debian, and no longer reliable. Ignoring.
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a752ba270>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750facf0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750f9d30>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750f9fa0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750faf30>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750fb0b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750fb230>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750fb3b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750fb530>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750fb6b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a750fbe00>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a750fbfb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d7641d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d7643b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d764590>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d764770>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d764950>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d764b30>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d764d40>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x784a6d764f50>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d7653d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765610>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765850>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765a90>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765cd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765f10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d766150>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d766390>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d7665d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d766810>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750fb5c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a750fb8f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x784a6d765340>: Failed to establish a new connection: [Errno 111] Connection refused')': /
